team1_player1,team1_player2,team1_player3,team1_player4,team1_player5,team2_player1,team2_player2,team2_player3,team2_player4,team2_player5,team2_player6,judge1,judge2,judge3
9000.png,,,,,,,,,,,,,
53,206,219,323,,188,405,438,592,,,365,547,
263,227,245,209,,273,197,258,193,,,184,282,
100,233,275,359,,236,437,475,624,,,404,603,
379,318,358,295,,410,291,368,281,,,251,415,
9001.png,,,,,,,,,,,,,
60,209,218,328,,184,402,428,595,,,358,543,
262,226,250,209,,268,191,260,192,,,181,280,
96,231,275,360,,239,436,481,619,,,406,606,
377,317,365,298,,410,289,375,280,,,256,413,
9002.png,,,,,,,,,,,,,
55,214,217,328,,182,406,422,589,,,355,541,
258,226,252,211,,269,192,257,191,,,179,280,
91,240,266,360,,237,439,487,623,,,406,606,
377,314,360,297,,393,288,373,280,,,255,413,
9003.png,,,,,,,,,,,,,
58,212,219,328,,174,406,422,590,,,358,546,
256,225,247,209,,266,193,257,192,,,183,284,
93,241,263,361,,235,430,482,626,,,394,606,
374,313,361,298,,388,277,374,278,,,256,420,
9004.png,,,,,,,,,,,,,
63,217,221,333,,174,410,420,590,,,362,546,
255,225,248,209,,265,190,257,192,,,183,291,
90,246,259,367,,229,435,482,626,,,399,606,
374,313,363,297,,390,274,374,278,,,256,422,
9005.png,,,,,,,,,,,,,
66,220,221,333,,168,412,413,590,,,366,546,
255,225,244,209,,265,193,257,192,,,183,290,
90,246,250,373,,220,441,473,628,,,394,603,
367,313,363,297,,394,277,374,278,,,256,424,
9006.png,,,,,,,,,,,,,
63,222,225,337,,168,414,402,586,,,364,549,
255,220,248,209,,265,193,266,189,,,181,290,
90,246,244,380,,212,444,467,632,,,401,597,
367,313,363,297,,394,283,374,280,,,252,428,
9007.png,,,,,,,,,,,,,
67,224,223,339,,161,420,410,589,,,368,551,
250,221,241,211,,262,193,262,191,,,179,290,
92,250,242,387,,214,455,458,634,,,409,595,
370,314,363,295,,396,288,377,282,,,249,427,
9008.png,,,,,,,,,,,,,
70,230,222,343,,165,421,401,590,,,368,552,
254,220,244,211,,263,201,266,191,,,178,291,
100,258,245,388,,205,463,453,635,,,405,591,
371,312,364,297,,393,287,370,283,,,247,424,
9009.png,,,,,,,,,,,,,
73,231,222,344,,164,427,398,590,,,367,548,
253,217,245,209,,262,203,265,191,,,175,290,
99,262,244,392,,206,466,452,632,,,407,590,
374,313,357,296,,389,287,374,286,,,247,424,
9010.png,,,,,,,,,,,,,
75,234,221,350,,165,430,393,591,,,368,546,
254,219,247,209,,257,204,262,191,,,175,288,
104,266,244,390,,209,471,455,630,,,409,598,
368,313,361,296,,392,293,374,286,,,247,420,
