team1_player1,team1_player2,team1_player3,team1_player4,team1_player5,team2_player1,team2_player2,team2_player3,team2_player4,team2_player5,team2_player6,judge1,judge2,judge3
5000.png,,,,,,,,,,,,,
186,284,499,497,550,266,444,475,500,544,,271,259,637
128,174,234,149,82,127,125,203,135,94,,254,80,111
232,325,549,527,582,301,473,530,537,587,,305,294,679
217,286,354,239,212,218,228,313,237,236,,373,168,197
5001.png,,,,,,,,,,,,,
179,285,500,499,553,269,448,476,505,541,,270,256,633
134,171,236,151,78,127,131,201,135,86,,253,80,110
236,328,552,530,598,305,485,528,539,597,,314,289,679
220,277,352,241,211,222,232,314,230,229,,377,168,195
5002.png,,,,,,,,,,,,,
179,290,502,502,560,267,452,482,506,545,,266,251,633
131,172,231,148,66,126,132,208,134,105,,255,80,108
233,332,552,537,598,298,492,525,544,577,,326,289,677
217,278,348,245,215,222,233,315,235,228,,379,169,196
5003.png,,,,,,,,,,,,,
181,284,503,500,569,266,452,477,506,548,,264,252,632
129,170,233,149,82,127,133,202,132,122,,253,83,106
225,335,554,542,600,302,500,532,549,581,,337,294,670
218,273,351,243,209,219,230,313,233,225,,379,166,196
5004.png,,,,,,,,,,,,,
179,291,505,507,572,266,462,480,509,550,,270,250,630
127,166,233,148,75,126,135,206,131,113,,256,84,101
224,336,556,552,610,295,502,533,548,588,,342,292,673
219,274,346,245,211,222,227,308,233,226,,380,166,193
5005.png,,,,,,,,,,,,,
182,293,506,511,581,263,450,479,512,553,,277,249,630
127,169,236,154,88,125,136,201,133,114,,258,83,105
219,339,556,554,614,298,510,530,549,592,,344,288,667
214,278,345,243,215,219,229,310,235,227,,384,168,190
5006.png,,,,,,,,,,,,,
174,292,508,512,588,265,452,476,516,554,,281,249,632
123,165,231,150,94,125,135,202,131,114,,260,83,104
207,345,554,558,617,291,515,534,555,600,,347,288,671
216,278,347,242,219,220,231,309,233,226,,383,172,191
5007.png,,,,,,,,,,,,,
170,288,509,514,596,263,456,484,520,557,,291,246,631
127,165,233,149,105,124,134,200,128,111,,261,85,104
200,344,554,560,622,285,518,538,553,604,,351,282,670
218,274,344,246,224,219,227,304,230,229,,378,170,192
5008.png,,,,,,,,,,,,,
166,292,509,519,601,260,463,485,521,560,,300,243,630
122,161,231,150,113,124,138,200,129,118,,263,85,103
195,346,557,557,629,284,523,542,561,605,,354,280,669
217,273,345,242,224,220,227,307,234,232,,379,170,189
5009.png,,,,,,,,,,,,,
162,290,509,520,605,256,470,493,524,562,,313,241,629
128,165,229,148,120,125,136,199,130,117,,263,84,105
194,351,560,560,640,280,518,541,561,605,,360,279,669
216,266,345,240,237,219,232,308,236,239,,381,171,192
5010.png,,,,,,,,,,,,,
157,292,510,522,608,254,487,498,525,566,,324,242,629
127,162,232,148,127,127,135,197,130,121,,260,83,105
193,353,559,563,647,283,523,543,560,602,,366,277,666
220,267,348,242,240,223,232,303,232,241,,389,174,192
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
